"mon_feature_id","date_time","sample_begin_depth","institution_abbr","preservative_abbr","Ca_Diss_Water","Ca_Diss_Water_dl","Cl_Diss_Water","Cl_Diss_Water_dl","DMS_Tot_Water","DMS_Tot_Water_dl","EC_Phys_Water","EC_Phys_Water_dl","F_Diss_Water","F_Diss_Water_dl","K_Diss_Water","K_Diss_Water_dl","KJEL_N_Tot_Water","KJEL_N_Tot_Water_dl","Mg_Diss_Water","Mg_Diss_Water_dl","Na_Diss_Water","Na_Diss_Water_dl","NH4_N_Diss_Water","NH4_N_Diss_Water_dl","NO3_NO2_N_Diss_Water","NO3_NO2_N_Diss_Water_dl","P_Tot_Water","P_Tot_Water_dl","pH_Diss_Water","pH_Diss_Water_dl","PO4_P_Diss_Water","PO4_P_Diss_Water_dl","Si_Diss_Water","Si_Diss_Water_dl","SO4_Diss_Water","SO4_Diss_Water_dl","TAL_Diss_Water","TAL_Diss_Water_dl","Station","Qat"
90213,1964-03-17 06:00:00,0,"DWS-RQIS","NONE",32,1,36,3,#n/a,#n/a,38.9,1,0.3,0.1,#n/a,#n/a,#n/a,#n/a,13,1,28,2,#n/a,#n/a,0.02,0.04,#n/a,#n/a,8.2,2,#n/a,#n/a,#n/a,#n/a,29,4,114.8,4,"A2H082Q01","A21J"
90213,1964-04-14 06:00:00,0,"DWS-RQIS","NONE",36,1,36,3,#n/a,#n/a,44.4,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,17,1,35,2,#n/a,#n/a,1.36,0.04,#n/a,#n/a,8.2,2,#n/a,#n/a,#n/a,#n/a,43,4,135.3,4,"A2H082Q01","A21J"
90213,1964-05-19 06:00:00,0,"DWS-RQIS","NONE",40,1,43,3,#n/a,#n/a,44.4,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,12,1,41,2,#n/a,#n/a,0.02,0.04,#n/a,#n/a,7.3,2,#n/a,#n/a,#n/a,#n/a,48,4,130.4,4,"A2H082Q01","A21J"
90213,1964-06-23 06:00:00,0,"DWS-RQIS","NONE",30,1,43,3,#n/a,#n/a,45.6,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,18,1,37,2,#n/a,#n/a,0.02,0.04,#n/a,#n/a,7.9,2,#n/a,#n/a,#n/a,#n/a,43,4,125.5,4,"A2H082Q01","A21J"
90213,1964-07-21 06:00:00,0,"DWS-RQIS","NONE",30,1,39,3,#n/a,#n/a,47.8,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,19,1,46,2,#n/a,#n/a,2.71,0.04,#n/a,#n/a,8.7,2,#n/a,#n/a,#n/a,#n/a,53,4,134.5,4,"A2H082Q01","A21J"
90213,1964-08-18 06:00:00,0,"DWS-RQIS","NONE",35,1,43,3,#n/a,#n/a,47.8,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,18,1,35,2,#n/a,#n/a,0.02,0.04,#n/a,#n/a,7.4,2,#n/a,#n/a,#n/a,#n/a,43,4,130.4,4,"A2H082Q01","A21J"
90213,1964-09-22 06:00:00,0,"DWS-RQIS","NONE",38,1,41,3,#n/a,#n/a,54.4,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,18,1,39,2,#n/a,#n/a,4.29,0.04,#n/a,#n/a,7.6,2,#n/a,#n/a,#n/a,#n/a,46,4,135.3,4,"A2H082Q01","A21J"
90213,1964-10-20 06:00:00,0,"DWS-RQIS","NONE",40,1,50,3,#n/a,#n/a,61.1,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,18,1,51,2,#n/a,#n/a,7,0.04,#n/a,#n/a,7.6,2,#n/a,#n/a,#n/a,#n/a,53,4,135.3,4,"A2H082Q01","A21J"
90213,1964-11-17 06:00:00,0,"DWS-RQIS","NONE",34,1,46,3,#n/a,#n/a,46.7,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,20,1,30,2,#n/a,#n/a,0.02,0.04,#n/a,#n/a,7.5,2,#n/a,#n/a,#n/a,#n/a,48,4,114.8,4,"A2H082Q01","A21J"
90213,1964-12-23 06:00:00,0,"DWS-RQIS","NONE",38,1,46,3,#n/a,#n/a,48.9,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,18,1,32,2,#n/a,#n/a,0.02,0.04,#n/a,#n/a,7.7,2,#n/a,#n/a,#n/a,#n/a,58,4,114.8,4,"A2H082Q01","A21J"
90213,1965-01-19 06:00:00,0,"DWS-RQIS","NONE",32,1,39,3,#n/a,#n/a,43.3,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,16,1,32,2,#n/a,#n/a,0.02,0.04,#n/a,#n/a,7.5,2,#n/a,#n/a,#n/a,#n/a,48,4,109.9,4,"A2H082Q01","A21J"
90213,1965-02-16 06:00:00,0,"DWS-RQIS","NONE",30,1,36,3,#n/a,#n/a,36.7,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,16,1,21,2,#n/a,#n/a,0.02,0.04,#n/a,#n/a,7.8,2,#n/a,#n/a,#n/a,#n/a,34,4,100.1,4,"A2H082Q01","A21J"
90213,1965-03-23 06:00:00,0,"DWS-RQIS","NONE",28,1,36,3,#n/a,#n/a,34.4,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,15,1,21,2,#n/a,#n/a,0.02,0.04,#n/a,#n/a,7.7,2,#n/a,#n/a,#n/a,#n/a,24,4,100.1,4,"A2H082Q01","A21J"
90213,1983-03-14 13:45:00,0,"DWS-RQIS","NONE",42.3,1,50.5,3,467,1,67.9,1,0.79,0.1,9.14,0.3,#n/a,#n/a,20,1,61.2,2,0.06,0.04,1.01,0.04,#n/a,#n/a,8.12,2,0.4,0.005,5.03,0.4,105.6,4,140.6,4,"A2H082Q01","A21J"
90213,1983-04-18 13:05:00,0,"DWS-RQIS","NONE",46.8,1,51.3,3,476,1,70.2,1,0.7,0.1,9.4,0.3,#n/a,#n/a,21.5,1,61,2,0.08,0.04,2.51,0.04,#n/a,#n/a,7.8,2,0.404,0.005,5.31,0.4,105.5,4,136.9,4,"A2H082Q01","A21J"
90213,1983-05-23 14:59:00,0,"DWS-RQIS","NONE",45.5,1,54,3,495,1,66,1,0.83,0.1,9.01,0.3,#n/a,#n/a,20.5,1,61.7,2,0.04,0.04,1.05,0.04,#n/a,#n/a,9.2,2,0.317,0.005,5.19,0.4,117.5,4,147.5,4,"A2H082Q01","A21J"
90213,1983-06-20 14:30:00,0,"DWS-RQIS","NONE",46.7,1,56.6,3,496,1,68,1,0.75,0.1,9.32,0.3,#n/a,#n/a,22.3,1,64.2,2,0.02,0.04,2.18,0.04,#n/a,#n/a,8.7,2,0.447,0.005,4.6,0.4,117.5,4,137.2,4,"A2H082Q01","A21J"
90213,1983-07-18 15:15:00,0,"DWS-RQIS","NONE",45.2,1,57.9,3,495,1,71.2,1,0.6,0.1,9.53,0.3,#n/a,#n/a,21.1,1,63.5,2,0.02,0.04,1.86,0.04,#n/a,#n/a,9.3,2,0.612,0.005,4.06,0.4,115.5,4,140.3,4,"A2H082Q01","A21J"
90213,1983-08-15 14:30:00,0,"DWS-RQIS","NONE",48.1,1,60.6,3,522,1,76,1,0.55,0.1,9.6,0.3,#n/a,#n/a,23.8,1,66.7,2,0.02,0.04,3.09,0.04,#n/a,#n/a,7.83,2,0.723,0.005,4.04,0.4,120.7,4,144.1,4,"A2H082Q01","A21J"
90213,1983-09-12 14:45:00,0,"DWS-RQIS","NONE",47.7,1,61.7,3,559,1,75.2,1,0.82,0.1,10.16,0.3,#n/a,#n/a,23.7,1,71.4,2,0.04,0.04,3.43,0.04,#n/a,#n/a,7.25,2,0.867,0.005,4.46,0.4,139.7,4,152.6,4,"A2H082Q01","A21J"
90213,1983-10-10 13:10:00,0,"DWS-RQIS","NONE",50.7,1,62.5,3,552,1,77.7,1,0.6,0.1,10.17,0.3,#n/a,#n/a,24.8,1,70.4,2,0.02,0.04,3.63,0.04,#n/a,#n/a,7.66,2,0.82,0.005,3.65,0.4,134.2,4,147.6,4,"A2H082Q01","A21J"
90213,1984-01-02 12:25:00,0,"DWS-RQIS","NONE",43.6,1,57.9,3,443,1,65,1,0.59,0.1,9.25,0.3,#n/a,#n/a,20.3,1,55.4,2,0.9,0.04,1.48,0.04,#n/a,#n/a,8.4,2,0.328,0.005,5.36,0.4,97.1,4,123.1,4,"A2H082Q01","A21J"
90213,1984-02-06 13:35:00,0,"DWS-RQIS","NONE",36.2,1,53.6,3,427,1,65.2,1,0.77,0.1,9.44,0.3,#n/a,#n/a,20.1,1,55.2,2,0.08,0.04,1.88,0.04,#n/a,#n/a,7.92,2,0.442,0.005,5.74,0.4,96.8,4,119.4,4,"A2H082Q01","A21J"
90213,1992-01-28 09:15:00,0,"DWS-RQIS","HGCL2",13.3,1,5.9,3,138,1,18.9,1,0.2,0.1,4.13,0.3,1.195,0.04,9.9,1,5.5,2,0.149,0.04,0.125,0.04,0.061,0.005,8.01,2,0.012,0.005,5.31,0.4,9.9,4,72.7,4,"A2H082Q01","A21J"
90213,1992-02-04 06:35:00,0,"DWS-RQIS","HGCL2",13.3,1,5,3,134,1,17.4,1,0.19,0.1,3.35,0.3,0.56,0.04,10,1,4.1,2,0.092,0.04,0.201,0.04,0.053,0.005,8.01,2,0.012,0.005,5.44,0.4,9.8,4,71.3,4,"A2H082Q01","A21J"
90213,1992-03-10 09:00:00,0,"DWS-RQIS","HGCL2",15.5,1,5.1,3,152,1,20.7,1,0.23,0.1,3.77,0.3,0.739,0.04,11.3,1,5,2,0.061,0.04,0.219,0.04,0.071,0.005,8.02,2,0.037,0.005,5.64,0.4,11,4,81,4,"A2H082Q01","A21J"
90213,1992-03-17 08:20:00,0,"DWS-RQIS","HGCL2",15.3,1,4.9,3,151,1,19.8,1,0.2,0.1,3.7,0.3,0.616,0.04,11.3,1,4.8,2,0.061,0.04,0.238,0.04,0.08,0.005,8.04,2,0.017,0.005,5.62,0.4,10.4,4,81,4,"A2H082Q01","A21J"
90213,1992-06-22 13:30:00,0,"DWS-RQIS","HGCL2",42.8,1,56.2,3,453,1,67.8,1,0.43,0.1,10.55,0.3,2.792,0.04,22.5,1,46.2,2,1.545,0.04,0.977,0.04,0.111,0.005,8.33,2,0.012,0.005,3.83,0.4,83,4,151.4,4,"A2H082Q01","A21J"
90213,1992-11-03 15:25:00,0,"DWS-RQIS","HGCL2",38.2,1,65.3,3,461,1,70.9,1,0.6,0.1,11.64,0.3,#n/a,#n/a,18.8,1,61.7,2,0.388,0.04,0.825,0.04,#n/a,#n/a,8.57,2,0.03,0.005,1.95,0.4,90.4,4,139.5,4,"A2H082Q01","A21J"
90213,1992-11-10 14:30:00,0,"DWS-RQIS","HGCL2",35.2,1,65.4,3,466,1,70.7,1,0.54,0.1,11.89,0.3,#n/a,#n/a,18.4,1,62.8,2,0.695,0.04,0.508,0.04,#n/a,#n/a,8.35,2,0.015,0.005,1.74,0.4,95.5,4,142.2,4,"A2H082Q01","A21J"
90213,1992-11-17 14:30:00,0,"DWS-RQIS","HGCL2",35.1,1,60.7,3,455,1,68.1,1,0.57,0.1,12.02,0.3,#n/a,#n/a,19.3,1,63.9,2,0.586,0.04,0.905,0.04,#n/a,#n/a,8.32,2,0.017,0.005,2.19,0.4,90.9,4,137.4,4,"A2H082Q01","A21J"
90213,1992-11-24 14:40:00,0,"DWS-RQIS","HGCL2",37.4,1,59.3,3,445,1,67.4,1,0.7,0.1,12.24,0.3,#n/a,#n/a,18.4,1,62.9,2,0.55,0.04,1.087,0.04,#n/a,#n/a,8.36,2,0.012,0.005,2.56,0.4,87.8,4,131.8,4,"A2H082Q01","A21J"
90213,1992-12-01 14:45:00,0,"DWS-RQIS","HGCL2",37.8,1,60.2,3,439,1,65.3,1,0.64,0.1,12.1,0.3,#n/a,#n/a,18.2,1,61.5,2,0.533,0.04,1.265,0.04,#n/a,#n/a,8.1,2,0.013,0.005,2.82,0.4,82.8,4,130.6,4,"A2H082Q01","A21J"
90213,1992-12-08 14:45:00,0,"DWS-RQIS","HGCL2",37.2,1,57.1,3,435,1,58,1,0.57,0.1,12.28,0.3,#n/a,#n/a,18.6,1,61.7,2,0.209,0.04,1.396,0.04,#n/a,#n/a,8.77,2,0.017,0.005,2.82,0.4,81.3,4,131.1,4,"A2H082Q01","A21J"
90213,1992-12-15 15:10:00,0,"DWS-RQIS","HGCL2",34.5,1,61.9,3,443,1,62.5,1,0.74,0.1,11.83,0.3,#n/a,#n/a,17,1,61.6,2,0.453,0.04,1.186,0.04,#n/a,#n/a,8.38,2,0.029,0.005,3.1,0.4,87.7,4,132.6,4,"A2H082Q01","A21J"
90213,1992-12-22 13:35:00,0,"DWS-RQIS","HGCL2",34.8,1,57.8,3,432,1,63.9,1,0.68,0.1,11.32,0.3,#n/a,#n/a,16.3,1,57,2,0.464,0.04,1.268,0.04,#n/a,#n/a,8.17,2,0.043,0.005,3.33,0.4,86,4,133,4,"A2H082Q01","A21J"
90213,1992-12-29 15:00:00,0,"DWS-RQIS","HGCL2",32.1,1,54.7,3,408,1,60.7,1,0.64,0.1,11.52,0.3,#n/a,#n/a,15,1,57,2,0.865,0.04,0.883,0.04,#n/a,#n/a,8.42,2,0.264,0.005,3.21,0.4,74.3,4,128.4,4,"A2H082Q01","A21J"
90213,1993-01-05 15:30:00,0,"DWS-RQIS","HGCL2",32.5,1,54.8,3,403,1,61.5,1,0.76,0.1,11.37,0.3,#n/a,#n/a,16.8,1,56.8,2,0.896,0.04,1.183,0.04,#n/a,#n/a,8.77,2,0.031,0.005,3.23,0.4,75.8,4,121.4,4,"A2H082Q01","A21J"
90213,1993-01-12 14:30:00,0,"DWS-RQIS","HGCL2",33.2,1,49.8,3,387,1,52.3,1,0.54,0.1,10.33,0.3,#n/a,#n/a,16.1,1,51.8,2,0.509,0.04,0.669,0.04,#n/a,#n/a,8.87,2,0.034,0.005,3.46,0.4,66.4,4,127.5,4,"A2H082Q01","A21J"
90213,1993-01-19 14:45:00,0,"DWS-RQIS","HGCL2",29.9,1,53.2,3,397,1,59.4,1,0.71,0.1,11.39,0.3,#n/a,#n/a,15,1,54.7,2,0.401,0.04,0.866,0.04,#n/a,#n/a,8.8,2,0.029,0.005,3.45,0.4,74.7,4,125.5,4,"A2H082Q01","A21J"
90213,1993-01-26 14:45:00,0,"DWS-RQIS","HGCL2",32.5,1,55.5,3,397,1,57.3,1,0.63,0.1,11.07,0.3,#n/a,#n/a,15.2,1,54.4,2,0.287,0.04,0.526,0.04,#n/a,#n/a,9.13,2,0.161,0.005,3.83,0.4,77.5,4,120.7,4,"A2H082Q01","A21J"
90213,1993-02-02 13:30:00,0,"DWS-RQIS","HGCL2",31.7,1,50,3,367,1,58.7,1,0.52,0.1,10.44,0.3,#n/a,#n/a,14.8,1,52.3,2,0.437,0.04,0.433,0.04,#n/a,#n/a,9.08,2,0.143,0.005,3.84,0.4,60,4,118,4,"A2H082Q01","A21J"
90213,1993-02-09 14:00:00,0,"DWS-RQIS","HGCL2",32.1,1,53.8,3,389,1,58,1,0.45,0.1,11.26,0.3,#n/a,#n/a,15.3,1,55.4,2,0.271,0.04,0.627,0.04,#n/a,#n/a,9.34,2,0.141,0.005,3.99,0.4,78.3,4,113.6,4,"A2H082Q01","A21J"
90213,1993-02-16 14:15:00,0,"DWS-RQIS","HGCL2",31.5,1,51,3,382,1,54.3,1,0.53,0.1,11.57,0.3,#n/a,#n/a,15.7,1,56.5,2,0.304,0.04,0.418,0.04,#n/a,#n/a,9.56,2,0.197,0.005,4.03,0.4,75.1,4,112.3,4,"A2H082Q01","A21J"
90213,1993-02-22 14:15:00,0,"DWS-RQIS","HGCL2",33.1,1,51.3,3,385,1,51.6,1,0.58,0.1,10.98,0.3,#n/a,#n/a,15.2,1,54.2,2,0.224,0.04,0.878,0.04,#n/a,#n/a,9.07,2,0.166,0.005,3.84,0.4,71,4,118.2,4,"A2H082Q01","A21J"
90213,1993-03-02 14:30:00,0,"DWS-RQIS","HGCL2",31.2,1,51.6,3,378,1,51.2,1,0.5,0.1,10.57,0.3,#n/a,#n/a,14.2,1,51.6,2,0.47,0.04,0.603,0.04,#n/a,#n/a,9.19,2,0.16,0.005,4.07,0.4,72.8,4,116.1,4,"A2H082Q01","A21J"
90213,1993-03-09 14:15:00,0,"DWS-RQIS","HGCL2",33.8,1,49.8,3,374,1,56.5,1,0.6,0.1,10.61,0.3,#n/a,#n/a,14.3,1,50.7,2,0.152,0.04,1.319,0.04,#n/a,#n/a,9.09,2,0.185,0.005,4.24,0.4,70.7,4,112.6,4,"A2H082Q01","A21J"
90213,1993-03-16 14:10:00,0,"DWS-RQIS","HGCL2",32.5,1,51.1,3,373,1,56.3,1,0.51,0.1,10.84,0.3,#n/a,#n/a,15,1,51.2,2,0.203,0.04,1.119,0.04,#n/a,#n/a,8.94,2,0.219,0.005,4.51,0.4,68.5,4,112.8,4,"A2H082Q01","A21J"
90213,1993-03-23 14:30:00,0,"DWS-RQIS","HGCL2",31.7,1,49.9,3,376,1,54,1,0.47,0.1,10.44,0.3,#n/a,#n/a,15.1,1,49,2,0.672,0.04,0.862,0.04,#n/a,#n/a,9.19,2,0.19,0.005,4.92,0.4,71.4,4,116.9,4,"A2H082Q01","A21J"
90213,1993-03-30 14:15:00,0,"DWS-RQIS","HGCL2",33.5,1,50.9,3,370,1,57.1,1,0.51,0.1,10.37,0.3,#n/a,#n/a,13.5,1,49.5,2,0.464,0.04,0.822,0.04,#n/a,#n/a,9.13,2,0.179,0.005,4.81,0.4,64.5,4,116.4,4,"A2H082Q01","A21J"
90213,1993-04-06 13:15:00,0,"DWS-RQIS","HGCL2",33.7,1,52.1,3,389,1,53.6,1,0.54,0.1,11.63,0.3,#n/a,#n/a,14.8,1,55,2,0.127,0.04,0.891,0.04,#n/a,#n/a,9.2,2,0.166,0.005,4.81,0.4,66.9,4,122.4,4,"A2H082Q01","A21J"
90213,1993-04-13 14:25:00,0,"DWS-RQIS","HGCL2",34.1,1,50.1,3,375,1,50.3,1,0.53,0.1,10.87,0.3,#n/a,#n/a,14.7,1,51.6,2,0.047,0.04,1.22,0.04,#n/a,#n/a,8.63,2,0.125,0.005,4.81,0.4,68,4,114,4,"A2H082Q01","A21J"
90213,1993-04-20 14:00:00,0,"DWS-RQIS","HGCL2",33.8,1,53.2,3,380,1,49.6,1,0.56,0.1,10.72,0.3,#n/a,#n/a,14,1,49.5,2,0.02,0.04,1.381,0.04,#n/a,#n/a,8.38,2,0.123,0.005,4.94,0.4,72.8,4,114.2,4,"A2H082Q01","A21J"
90213,1993-04-27 13:30:00,0,"DWS-RQIS","HGCL2",34.2,1,52.2,3,384,1,51.3,1,0.66,0.1,10.88,0.3,#n/a,#n/a,14.3,1,51.9,2,0.242,0.04,1.177,0.04,#n/a,#n/a,8.3,2,0.148,0.005,4.71,0.4,68.8,4,119.2,4,"A2H082Q01","A21J"
90213,1993-05-04 13:15:00,0,"DWS-RQIS","HGCL2",34.9,1,51.9,3,385,1,52.7,1,0.52,0.1,10.78,0.3,#n/a,#n/a,14.2,1,52.4,2,0.02,0.04,1.255,0.04,#n/a,#n/a,8.46,2,0.12,0.005,4.2,0.4,74.3,4,114.7,4,"A2H082Q01","A21J"
90213,1993-05-11 14:15:00,0,"DWS-RQIS","HGCL2",34.9,1,52.5,3,387,1,57.3,1,0.52,0.1,10.76,0.3,#n/a,#n/a,14.9,1,51.7,2,0.059,0.04,1.267,0.04,#n/a,#n/a,8.7,2,0.161,0.005,5.02,0.4,71.9,4,117.7,4,"A2H082Q01","A21J"
90213,1993-05-18 14:00:00,0,"DWS-RQIS","HGCL2",35.1,1,54.2,3,385,1,56.3,1,0.58,0.1,10.76,0.3,#n/a,#n/a,14.2,1,52.7,2,0.052,0.04,1.571,0.04,#n/a,#n/a,8.12,2,0.146,0.005,5.03,0.4,65.8,4,118.1,4,"A2H082Q01","A21J"
90213,1993-05-25 13:55:00,0,"DWS-RQIS","HGCL2",34.6,1,55.4,3,396,1,56.7,1,0.51,0.1,10.97,0.3,#n/a,#n/a,14.5,1,52.6,2,0.02,0.04,1.466,0.04,#n/a,#n/a,8.25,2,0.149,0.005,4.59,0.4,76.1,4,118.7,4,"A2H082Q01","A21J"
90213,1993-06-01 14:25:00,0,"DWS-RQIS","HGCL2",36,1,52.2,3,390,1,57.2,1,0.51,0.1,10.91,0.3,#n/a,#n/a,14.9,1,53.6,2,0.081,0.04,1.488,0.04,#n/a,#n/a,8.26,2,0.13,0.005,4.65,0.4,69.2,4,119.7,4,"A2H082Q01","A21J"
90213,1993-06-08 13:50:00,0,"DWS-RQIS","HGCL2",32.5,1,50.6,3,401,1,58.8,1,0.48,0.1,11.33,0.3,#n/a,#n/a,15.3,1,55.5,2,0.233,0.04,1.642,0.04,#n/a,#n/a,7.91,2,0.027,0.005,4.29,0.4,77.3,4,123.5,4,"A2H082Q01","A21J"
90213,1993-06-15 13:30:00,0,"DWS-RQIS","HGCL2",35.9,1,55.2,3,405,1,60.4,1,0.51,0.1,11.08,0.3,#n/a,#n/a,15.7,1,53,2,0.193,0.04,1.855,0.04,#n/a,#n/a,8.08,2,0.166,0.005,3.98,0.4,72.6,4,124.5,4,"A2H082Q01","A21J"
90213,1993-06-22 13:50:00,0,"DWS-RQIS","HGCL2",37.9,1,53.2,3,414,1,60.6,1,0.6,0.1,10.97,0.3,#n/a,#n/a,15.5,1,55,2,0.147,0.04,1.921,0.04,#n/a,#n/a,8.03,2,0.143,0.005,4.36,0.4,75.6,4,128.4,4,"A2H082Q01","A21J"
90213,1993-06-29 13:05:00,0,"DWS-RQIS","HGCL2",37.3,1,51,3,404,1,48.6,1,0.64,0.1,11.17,0.3,#n/a,#n/a,14.7,1,54.3,2,0.069,0.04,1.802,0.04,#n/a,#n/a,8.43,2,0.218,0.005,4.01,0.4,74.4,4,124.6,4,"A2H082Q01","A21J"
90213,1993-07-06 12:50:00,0,"DWS-RQIS","HGCL2",36.8,1,57.9,3,416,1,50.6,1,0.82,0.1,11.3,0.3,#n/a,#n/a,15.1,1,55.8,2,0.129,0.04,1.67,0.04,#n/a,#n/a,8.39,2,0.112,0.005,3.73,0.4,76.4,4,126.2,4,"A2H082Q01","A21J"
